频道检测报告 | 时间: 2026-03-06 10:20:49.087694
总计检测: 5051 | 存活: 2505 | 失效: 2546

🔴 [失效] CCTV-12高清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-12高清       | 无法获取视频流
🔴 [失效] CCTV-12高清测试     | 无法获取视频流
🔴 [失效] CCTV-10高清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 1.12s
🟢 [有效] CCTV-12高清测试     | 耗时: 1.09s
🟢 [有效] CCTV-11高清       | 耗时: 1.12s
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 1.14s
🟢 [有效] CCTV-11高清       | 耗时: 1.13s
🟢 [有效] CCTV-10高清       | 耗时: 1.16s
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 1.14s
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 1.15s
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 1.16s
🟢 [有效] CCTV-10高清       | 耗时: 1.17s
🟢 [有效] CCTV-11高清       | 耗时: 1.16s
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 1.19s
🟢 [有效] CCTV-10高清       | 耗时: 1.18s
🟢 [有效] CCTV-11高清       | 耗时: 1.16s
🟢 [有效] CCTV-10高清       | 耗时: 1.19s
🟢 [有效] CCTV-11高清       | 耗时: 1.16s
🟢 [有效] CCTV-12高清测试     | 耗时: 1.14s
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 1.19s
🟢 [有效] CCTV-12高清       | 耗时: 1.16s
🟢 [有效] CCTV-13高清       | 耗时: 1.14s
🟢 [有效] CCTV-12高清       | 耗时: 1.16s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 1.17s
🟢 [有效] CCTV-12高清测试     | 耗时: 1.15s
🟢 [有效] CCTV-12高清测试     | 耗时: 1.15s
🟢 [有效] CCTV-10高清       | 耗时: 1.21s
🟢 [有效] CCTV-13高清       | 耗时: 1.15s
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 1.24s
🟢 [有效] CCTV-11高清       | 耗时: 1.21s
🟢 [有效] CCTV-10高清       | 耗时: 1.23s
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 1.25s
🟢 [有效] CCTV-12高清       | 耗时: 1.2s
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 1.25s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 1.25s
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 1.29s
🟢 [有效] CCTV-13高清       | 耗时: 1.23s
🟢 [有效] CCTV-13高清       | 耗时: 1.23s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 1.34s
🟢 [有效] CCTV-12高清       | 耗时: 1.37s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 1.38s
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 1.59s
🟢 [有效] CCTV-13高清       | 耗时: 1.13s
🟢 [有效] CCTV-13高清       | 耗时: 1.17s
🔴 [失效] CCTV-14高清       | 无法获取视频流
🟢 [有效] CCTV-10高清       | 耗时: 1.87s
🟢 [有效] CCTV-10高清       | 耗时: 1.97s
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 1.96s
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 1.99s
🟢 [有效] CCTV-12高清测试     | 耗时: 1.99s
🟢 [有效] CCTV-13高清       | 耗时: 2.09s
🟢 [有效] CCTV-13高清       | 耗时: 1.11s
🟢 [有效] CCTV-13高清       | 耗时: 1.1s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 2.22s
🟢 [有效] CCTV-10高清       | 耗时: 2.29s
🟢 [有效] CCTV-13高清       | 耗时: 1.22s
🟢 [有效] CCTV-13高清       | 耗时: 1.12s
🟢 [有效] CCTV-14高清       | 耗时: 1.13s
🟢 [有效] CCTV-13高清       | 耗时: 1.2s
🟢 [有效] CCTV-13高清       | 耗时: 1.21s
🟢 [有效] CCTV-14高清       | 耗时: 1.17s
🟢 [有效] CCTV-14高清       | 耗时: 1.18s
🔴 [失效] CCTV-14高清测试     | 无法获取视频流
🟢 [有效] CCTV-14高清       | 耗时: 1.19s
🟢 [有效] CCTV-14高清       | 耗时: 1.23s
🟢 [有效] CCTV-13高清       | 耗时: 1.26s
🟢 [有效] CCTV-13高清       | 耗时: 1.97s
🟢 [有效] CCTV-14高清       | 耗时: 1.21s
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 2.59s
🟢 [有效] CCTV-13高清       | 耗时: 1.44s
🟢 [有效] CCTV-14高清       | 耗时: 1.36s
🟢 [有效] CCTV-13高清       | 耗时: 1.5s
🟢 [有效] CCTV-11高清       | 耗时: 2.63s
🟢 [有效] CCTV-14高清       | 耗时: 1.28s
🟢 [有效] CCTV-14高清测试     | 耗时: 1.1s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 2.73s
🟢 [有效] CCTV-14高清测试     | 耗时: 1.21s
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 2.87s
🟢 [有效] CCTV-14高清       | 耗时: 1.84s
🟢 [有效] CCTV-14高清测试     | 耗时: 1.11s
🟢 [有效] CCTV-14高清测试     | 耗时: 1.19s
🟢 [有效] CCTV-14高清       | 耗时: 1.97s
🟢 [有效] CCTV-14高清       | 耗时: 1.97s
🟢 [有效] CCTV-14高清       | 耗时: 1.93s
🟢 [有效] CCTV-14高清测试     | 耗时: 1.13s
🟢 [有效] CCTV-15高清       | 耗时: 1.13s
🟢 [有效] CCTV-15高清       | 耗时: 1.22s
🟢 [有效] CCTV-15高清       | 耗时: 1.15s
🟢 [有效] CCTV-15高清       | 耗时: 1.14s
🟢 [有效] CCTV-15高清       | 耗时: 1.14s
🟢 [有效] CCTV-15高清       | 耗时: 1.18s
🟢 [有效] CCTV-15高清       | 耗时: 1.19s
🟢 [有效] CCTV-16 4K      | 耗时: 1.22s
🟢 [有效] CCTV-16 4K      | 耗时: 1.2s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 3.78s
🟢 [有效] CCTV-16 4K      | 耗时: 1.24s
🟢 [有效] CCTV-14高清测试     | 耗时: 1.97s
🟢 [有效] CCTV-14高清测试     | 耗时: 1.82s
🟢 [有效] CCTV-16 4K      | 耗时: 1.3s
🟢 [有效] CCTV-11高清       | 耗时: 3.93s
🟢 [有效] CCTV-16 4K      | 耗时: 1.16s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 4.17s
🟢 [有效] CCTV-16 4K      | 耗时: 1.23s
🟢 [有效] CCTV-16 4K      | 耗时: 1.19s
🟢 [有效] CCTV-16 4K      | 耗时: 1.1s
🟢 [有效] CCTV-15高清       | 耗时: 1.84s
