=============== 频道检测详细报告 ===============
任务时间: 2026-03-07 04:22:27.139576
上游抓取总数: 4713 个链接
最终有效总数: 834 个链接
过滤失效总数: 3879 个链接
================================================

=============== EPG 整合及清理报告 ===============
▶ 来源: http://epg.51zmt.top:8000/e.xml
   -> ✅ 提取频道: 103 个 | 有效节目: 7149 条 | 🗑️ 拦截垃圾: 48 条
▶ 来源: https://gitee.com/taksssss/tv/raw/main/epg/112114.xml.gz
   -> ✅ 提取频道: 473 个 | 有效节目: 12538 条 | 🗑️ 拦截垃圾: 124 条
▶ 来源: https://gitee.com/taksssss/tv/raw/main/epg/51zmt.xml.gz
   -> ✅ 提取频道: 0 个 | 有效节目: 7138 条 | 🗑️ 拦截垃圾: 54 条
▶ 来源: https://gitee.com/taksssss/tv/raw/main/epg/51zmte1.xml.gz
   -> ✅ 提取频道: 195 个 | 有效节目: 10004 条 | 🗑️ 拦截垃圾: 204 条
▶ 来源: https://gitee.com/taksssss/tv/raw/main/epg/51zmte2.xml.gz
   -> ✅ 提取频道: 221 个 | 有效节目: 12191 条 | 🗑️ 拦截垃圾: 72 条
▶ 来源: https://gitee.com/taksssss/tv/raw/main/epg/epgpw_cn.xml.gz
   -> ✅ 提取频道: 622 个 | 有效节目: 23021 条 | 🗑️ 拦截垃圾: 48 条
▶ 来源: https://gitee.com/taksssss/tv/raw/main/epg/epgpw_hk.xml.gz
   -> ✅ 提取频道: 235 个 | 有效节目: 47756 条 | 🗑️ 拦截垃圾: 736 条
▶ 来源: https://gitee.com/taksssss/tv/raw/main/epg/epgpw_tw.xml.gz
   -> ✅ 提取频道: 718 个 | 有效节目: 130227 条 | 🗑️ 拦截垃圾: 0 条
▶ 来源: https://gitee.com/taksssss/tv/raw/main/epg/erw.xml.gz
   -> ✅ 提取频道: 453 个 | 有效节目: 129618 条 | 🗑️ 拦截垃圾: 644 条

🎉 EPG 整合完成！共去重整合 3020 个频道，379642 条有效节目。

✅ 存活链接详情 (按处理顺序):
🟢 [有效] 广东珠江            | 耗时 1.38s | http://113.101.244.179:10000/rtp/239.77.0.1:5146
🟢 [有效] CCTV-2          | 耗时 1.37s | http://113.101.244.179:10000/rtp/239.77.0.137:5146
🟢 [有效] CCTV-1          | 耗时 1.38s | http://113.101.244.179:10000/rtp/239.77.0.129:5146
🟢 [有效] CCTV-1          | 耗时 1.38s | http://113.101.244.179:10000/rtp/239.77.0.119:5146
🟢 [有效] CCTV-3          | 耗时 1.45s | http://113.101.244.179:10000/rtp/239.77.0.169:5146
🟢 [有效] 肇庆生活服务          | 耗时 2.42s | http://113.101.244.179:10000/rtp/239.253.43.2:5146
🟢 [有效] CCTV-4          | 耗时 1.38s | http://113.101.244.179:10000/rtp/239.77.0.78:5146
🟢 [有效] CCTV4中文国际美洲高清   | 耗时 1.36s | http://113.101.244.179:10000/rtp/239.253.43.121:5146
🟢 [有效] CCTV4中文国际欧洲高清   | 耗时 1.38s | http://113.101.244.179:10000/rtp/239.253.43.120:5146
🟢 [有效] 汕头经济生活          | 耗时 3.26s | http://113.101.244.179:10000/rtp/239.253.43.46:5146
🟢 [有效] CCTV-6          | 耗时 1.38s | http://113.101.244.179:10000/rtp/239.77.0.178:5146
🟢 [有效] CCTV-8          | 耗时 1.35s | http://113.101.244.179:10000/rtp/239.77.0.172:5146
🟢 [有效] CCTV-9          | 耗时 1.37s | http://113.101.244.179:10000/rtp/239.77.0.135:5146
🟢 [有效] CCTV-10         | 耗时 1.36s | http://113.101.244.179:10000/rtp/239.77.0.134:5146
🟢 [有效] CCTV-兵器科技       | 耗时 1.36s | http://113.101.244.179:10000/rtp/239.253.43.18:5146
🟢 [有效] 电视指南            | 耗时 1.43s | http://113.101.244.179:10000/rtp/239.253.43.10:5146
